OID_,LandV_Num,Area,Site,LA_Year
24118,228984,0.057785743,Site29,2010
24119,245339,0.057831617,Site29,2010
24120,291952,0.056703368,Site29,2007
24121,33995,0.057875545,Site29,1978
24122,30810,0.05791303,Site29,1978
24123,477500,0.115925924,Site29,2006
24124,173536,0.015394677,Site29,2013
24125,80347,0.017362701,Site29,1981
24126,171278,0.025147253,Site29,2003
24127,195348,0.058094421,Site29,2003
24128,410300,0.058099202,Site29,2016
24129,18611,0.058098949,Site29,1975
24130,171694,0.058101327,Site29,2002
24131,18611,0.05809188,Site29,1975
24132,32957,0.058095661,Site29,1978
24133,78763,0.058097169,Site29,1980
24134,14881,0.058110834,Site29,1975
24135,414213,0.058080326,Site29,2014
24136,214100,0.116201177,Site29,2003
24137,376251,0.010145412,Site29,2015
24138,242977,0.014622981,Site29,2012
24139,369788,0.0337531,Site29,2014
24140,402933,0.058516414,Site29,2013
24141,165850,0.058515365,Site29,2001
24142,43029,0.058499699,Site29,1979
24143,57707,0.058507941,Site29,1987
24144,18611,0.05850815,Site29,1975
24145,157639,0.033139696,Site29,1994
24146,11571,0.022405427,Site29,1975
24147,106550,0.057867224,Site29,1998
24148,46469,0.057900052,Site29,1979
24149,275755,0.057931711,Site29,2004
24150,294010,0.057961996,Site29,2004
24151,132090,0.024457686,Site29,1988
24152,188410,0.032129133,Site29,2003
24153,246753,0.058525135,Site29,2011
24154,396117,0.058531187,Site29,2007
24155,65763,0.058529485,Site29,1986
24156,154468,0.031353531,Site29,2009
24157,109055,0.027173282,Site29,2000
24158,287286,0.058528925,Site29,2004
24159,21474,0.058524498,Site29,1977
24160,191196,0.039025584,Site29,1992
24161,40742,0.019512681,Site29,2003
24162,466376,0.058520271,Site29,2006
24163,127408,0.058536891,Site29,1995
24164,478791,0.054627831,Site29,2015
24165,16333,0.0624409,Site29,1975
24166,171723,0.024583171,Site29,1990
24167,317071,0.03393611,Site29,2004
24168,250791,0.058527625,Site29,2010
24169,565000,0.058520465,Site29,2016
24170,120000,0.058529217,Site29,2016
24171,83675,0.058531229,Site29,1982
24172,130701,0.058381969,Site29,1999
24173,134433,0.058324514,Site29,1992
24174,242100,0.058310696,Site29,2011
24175,225113,0.056091953,Site29,2003
24176,20474,0.058519849,Site29,1975
24177,17166,0.058539935,Site29,1975
24178,444451,0.058533838,Site29,2014
24179,26052,0.039799562,Site29,1977
24180,49355,0.037460108,Site29,1975
24181,225109,0.021745748,Site29,2011
24182,77366,0.018056836,Site29,2002
24183,116324,0.058533158,Site29,2000
24184,20875,0.058531234,Site29,1977
24185,45572,0.058531233,Site29,1986
24186,184517,0.05853117,Site29,1993
24187,104997,0.05770036,Site29,1984
24188,219924,0.058234523,Site29,1995
24189,20063,0.058283463,Site29,1975
24190,351589,0.058321731,Site29,2007
24191,139120,0.058375127,Site29,1994
24192,134354,0.058421937,Site29,1988
24193,383147,0.058461506,Site29,2014
24194,164721,0.042659208,Site29,2002
24195,106821,0.03724383,Site29,1998
24196,316510,0.037234488,Site29,2007
24197,217581,0.058623478,Site29,2004
